Name,Winrate,KDA,Rank,Image,RImg
Ornn,51.19,1.96,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Ornn.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Heimerdinger,51.14,1.65,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Heimerdinger.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Malzahar,51.11,1.97,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Malzahar.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Volibear,50.97,1.98,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Volibear.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Amumu,50.97,2.17,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Amumu.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Warwick,50.94,1.93,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Warwick.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Fizz,50.88,2.16,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Fizz.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Blitzcrank,50.85,2.21,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Blitzcrank.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Teemo,50.83,1.63,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Teemo.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Singed,50.8,1.72,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Singed.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Yone,50.68,1.68,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Yone.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Neeko,50.61,2.03,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Neeko.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Nami,50.57,2.78,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Nami.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Leona,50.52,2.1,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Leona.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Diana,50.42,2.0,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Diana.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Samira,50.31,1.93,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Samira.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Vel'Koz,50.21,2.06,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Velkoz.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Ziggs,50.2,1.96,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Ziggs.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Lillia,50.17,2.04,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Lillia.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Yasuo,50.15,1.58,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Yasuo.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Kayle,49.94,1.69,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Kayle.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Nautilus,49.93,2.13,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Nautilus.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Viego,49.88,1.9,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Viego.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Shen,49.73,2.43,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Shen.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Malphite,49.7,2.14,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Malphite.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Sivir,49.7,1.99,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Sivir.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Karthus,49.68,1.94,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Karthus.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Shaco,49.66,2.21,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Shaco.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Twitch,49.63,2.06,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Twitch.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Ekko,49.51,1.97,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Ekko.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Rell,49.5,2.09,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Rell.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
